INSTANCE_NAME,IP,MACHINE_TYPE,CPU,MEMORY,DISK,STATUS,PROJECT,ENV,ENGAGEMENT,COST_CENTER,Running_hours
bert-transformer-train-gpu,10.143.32.2,custom-8-65536-ext,8,64.0 GB,50 GB,TERMINATED,eva-preprod,preprod,eva,hellojio-eva-prod,308
bert-transformer-train-gpu-1,10.143.32.3,custom-8-65536-ext,8,64.0 GB,50 GB,TERMINATED,,,,,
bert-transformer-train-gpu-4,10.143.32.4,custom-8-65536-ext,8,64.0 GB,50 GB,TERMINATED,,,,,
bert-transformer-train-gpu-5,10.143.32.5,custom-8-65536-ext,8,64.0 GB,50 GB,TERMINATED,,,,,
faq-prod-2,10.140.16.3,f1-micro,1,0.599609375 GB,50 GB,TERMINATED,hellojio,prod,hellojio-eva,hellojio-eva-prod,720
faq-prod-4,10.140.16.5,f1-micro,1,0.599609375 GB,50 GB,TERMINATED,hellojio,prod,hellojio-eva,hellojio-eva-prod,720
faq-prod-es-slave-1,10.140.8.6,f1-micro,1,0.599609375 GB,50 GB,TERMINATED,hellojio,prod,hellojio-eva,hellojio-eva-prod,720
faq-prod-es-slave-2,10.140.8.8,f1-micro,1,0.599609375 GB,50 GB,TERMINATED,hellojio,prod,hellojio-eva,hellojio-eva-prod,720
faq-prod-mongo-slave-1,10.140.8.3,f1-micro,1,0.599609375 GB,10 GB,TERMINATED,hellojio,prod,hellojio-eva,hellojio-eva-prod,720
faq-prod-nginx-2,10.140.16.24,f1-micro,1,0.599609375 GB,50 GB,TERMINATED,hellojio,prod,hellojio-eva,hellojio-eva-prod,720
gke-jioml-2-0-gke-ml-train-predict-pr-a2ce85e3-bz69,10.140.16.62,n2-standard-8,8,32.0 GB,100 GB,RUNNING,hellojio,prod,hellojio,hellojio-prod,720
gke-jioml-2-0-gke-ml-train-predict-pr-a2ce85e3-lk7m,10.140.31.194,n2-standard-8,8,32.0 GB,100 GB,RUNNING,hellojio,prod,hellojio,hellojio-prod,720
gke-jioml-2-0-gke-ml-train-predict-pr-a2ce85e3-safx,10.140.31.192,n2-standard-8,8,32.0 GB,100 GB,RUNNING,hellojio,prod,hellojio,hellojio-prod,720
