INSTANCE_NAME,IP,MACHINE_TYPE,CPU,MEMORY,DISK,STATUS,PROJECT,ENV,ENGAGEMENT,COST_CENTER,Running_hours
jiogames-prod-publisher-gpu-v1-1lsf,10.146.1.97,n1-standard-8,8,30.0 GB,200 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogames-prod-publisher-gpu-v1-fph0,10.146.1.48,n1-standard-8,8,30.0 GB,200 GB,RUNNING,jiogames,prod,watch,jiowatch-prod,720
jiogames-stage-publisher-gpu-v1-7nhq,10.147.1.59,n1-standard-2,2,7.5 GB,200 GB,RUNNING,jiogames,stage,watch,jiowatch-stage,308
adextend-admin,10.3.2.33,e2-highcpu-2,2,2.0 GB,50 GB,TERMINATED,jioengage,prod,adextend,bigticket-prod,720
adextend-admin-dev,10.2.3.5,e2-small,2,2.0 GB,30 GB,RUNNING,jioengage,dev,adextend,bigticket-dev,308
adextend-mongo-master,10.3.1.12,e2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,adextend,bigticket-prod,720
adextend-mongo-replica,10.3.1.13,e2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,adextend,bigticket-prod,720
adextend-redis,10.3.4.21,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,prod,adextend,bigticket-prod,720
adextend-sc-1,10.3.16.181,e2-highcpu-2,2,2.0 GB,50 GB,RUNNING,jioengage,prod,adextend,bigticket-prod,720
adextend-sc-2,10.3.16.182,e2-medium,2,4.0 GB,50 GB,TERMINATED,jioengage,prod,adextend,bigticket-prod,720
adxtend-predict-01,10.6.1.2,n2-standard-8,8,32.0 GB,50 GB,TERMINATED,datascience,prod,datascience,datascience-prod,720
adxtend-train,10.6.1.3,n2-standard-16,16,64.0 GB,50 GB,RUNNING,datascience,prod,datascience,datascience-prod,720
bigboss-dev,10.2.3.4,e2-medium,2,4.0 GB,30 GB,RUNNING,jioengage,dev,bigboss,brand-dev,308
bingo-dev,10.2.3.9,e2-small,2,2.0 GB,30 GB,RUNNING,jioengage,dev,bingo,brand-dev,308
cadbury-vday-dev,10.2.3.10,e2-medium,2,4.0 GB,50 GB,RUNNING,jioengage,dev,cadbury,brand-dev,308
cds-jiogames-admin,10.7.2.3,n2-custom-2-4096,2,4.0 GB,200 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
cds-jiogames-appserver-1,10.7.1.6,n2-highcpu-2,2,2.0 GB,50 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
cds-jiogames-appserver-2,10.7.1.7,n2-highcpu-2,2,2.0 GB,50 GB,TERMINATED,jcn,prod,coupon,jcn-prod,720
cds-jiogames-dev,10.2.3.32,e2-medium,2,4.0 GB,100 GB,RUNNING,jcn,dev,coupon,jcn-dev,308
cds-jiogames-mongo-master-1,10.7.3.4,n2-custom-2-4096,2,4.0 GB,150 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
cds-jiogames-mongo-replica-1,10.7.3.5,n2-custom-2-4096,2,4.0 GB,150 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
cds-jiogames-redis-rabbitmq,10.7.5.3,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
cds-recharge-prod-api,10.3.16.18,n2-custom-2-4096,2,4.0 GB,50 GB,TERMINATED,jcn,prod,coupon,jcn-prod,720
central-admin,10.3.2.3,n2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,prod,common,bigticket-prod,720
central-admin-dev,10.2.3.6,e2-custom-4-8192,4,8.0 GB,100 GB,RUNNING,jioengage,prod,central,bigticket-prod,720
central-rabbitmq,10.3.3.3,n2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,jioengage,prod,common,bigticket-prod,720
central-redis,10.3.4.2,n2-custom-2-4096,2,4.0 GB,30 GB,RUNNING,jioengage,prod,common,bigticket-prod,720
coupon-dev,10.2.3.8,e2-standard-4,4,16.0 GB,100 GB,RUNNING,jcn,dev,coupon,jcn-dev,308
coupon-grafana,10.3.18.178,n2-highcpu-8,8,8.0 GB,100 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-monitoring,10.3.18.151,n2-standard-4,4,16.0 GB,100 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-preprod,10.2.3.236,e2-standard-4,4,16.0 GB,100 GB,RUNNING,jcn,dev,coupon,jcn-dev,308
coupon-prod-admin,10.3.2.40,n2-standard-4,4,16.0 GB,300 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-prod-api-1,10.3.16.189,n2-standard-8,8,32.0 GB,100 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-prod-api-2,10.3.17.162,n2-standard-8,8,32.0 GB,100 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-prod-api-3,10.3.17.163,n2-standard-8,8,32.0 GB,100 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-prod-api-4,10.3.17.164,n2-standard-8,8,32.0 GB,100 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-prod-assignment-server,10.3.2.192,n2-custom-8-16384,8,16.0 GB,100 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-prod-mongo-master,10.3.1.17,n2-standard-32,32,128.0 GB,350 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-prod-mongo-replica,10.3.1.18,n2-standard-32,32,128.0 GB,350 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-prod-mongo-replica-2,10.3.1.33,n2-standard-32,32,128.0 GB,350 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-prod-mongo-replica-3,10.3.1.34,n2-standard-32,32,128.0 GB,200 GB,TERMINATED,jcn,prod,coupon,jcn-prod,720
coupon-qa,10.2.3.63,e2-custom-2-4096,2,4.0 GB,50 GB,RUNNING,jioengage,dev,coupon,jcn-dev,308
coupon-redis-rabbitmq,10.3.3.18,n2-highmem-16,16,128.0 GB,300 GB,RUNNING,jcn,prod,coupon,jcn-prod,720
coupon-search,10.2.3.65,e2-standard-4,4,16.0 GB,50 GB,RUNNING,jcn,dev,coupon,jcn-dev,308
coupon-stage-app,10.2.3.20,e2-custom-2-4096,2,4.0 GB,100 GB,RUNNING,jcn,dev,coupon,jcn-prod,308
datascience-dev-bastion,10.5.2.3,e2-small,2,2.0 GB,50 GB,TERMINATED,datascience,dev,datascience,datascience-dev,308
datascience-prod-bastion,10.6.2.2,e2-small,2,2.0 GB,50 GB,RUNNING,datascience,prod,datascience,datascience-prod,720
